sample_idx,question,answer,contexts,faithfulness,answer_relevancy,context_relevancy
0,When does the new bunk'd come out?,"The new bunk'd episode 41 comes out on April 21, 2017, episode 42 comes out on April 28, 2017 and episode 42 is due to come out on May 24, 2017. ","[""- (List of Bunk'd episodes) The new bunk'd episode 41 comes out on April 21, 2017, episode 42 comes out on April 28, 2017 and episode 42 is due to come out on May 24, 2017.\r\n- (QA_1) When does episode 42 of bunk'd come out? May 24, 2017.\r\n- (QA_2) When does episode 41 of bunk'd come out? April 28, 2017.\r\n- (QA_3) When does episode 40 of bunk'd come out? April 21, 2017.""]",0.6666666666666666,0.7262346866813935,0.1428571428571428
1,Who won the 2016 ncaa football national championship?,"The 2015 - 2016 season's ncaa national football championship game was played between the Clemson Tigers and the Alabama Crimson Tide on January 11, 2016. The Alabama Crimson Tide won the game by holding off the undefeated Clemson Tigers 45–40 in the fourth quarter.","[""- (2016 College Football Playoff National Championship) The 2015 - 2016 season's ncaa national football championship game was played between the Clemson Tigers and the Alabama Crimson Tide on January 11, 2016. The Alabama Crimson Tide won the game by holding off the undefeated Clemson Tigers 45–40 in the fourth quarter.\r\n- (QA_1) Who won the 2016 season's ncaa football national championship? Clemson Tigers, 2016 Clemson Tigers football team, 2016 Clemson Tigers football, the Tigers, Clemson, Clemson University.\r\n- (QA_2) Who won the ncaa football national championship played in 2016? 2015 Alabama Crimson Tide football team, Alabama Crimson Tide, Crimson Tide, Alabama, University of Alabama.""]",1.0,0.9489262669395876,0.1666666666666666
2,When was the last time the death penalty was used in pa?,"The last time the death penalty was used in pa was on July 6, 1999. ","['- (QA_1) As of 2017, when was the last time the death penalty was carried out in PA? July 6, 1999.\r\n- (QA_2) As of 2016, when was the last time the death penalty was carried out in PA? July 6, 1999.\r\n- (QA_3) As of 2015, when was the last time the death penalty was carried out in PA? July 6, 1999.']",1.0,0.9658357501220984,0.1666666666666666
3,Where will failure of the left ventricle cause increased pressure?,"""Backward"" failure of the left ventricle causes congestion of the lungs' blood vessels, and therefore causes increased pressure in the lungs. These symptoms are predominantly respiratory in nature.","['- (Heart failure) ""Backward"" failure of the left ventricle causes congestion of the lungs\' blood vessels, and therefore causes increased pressure in the lungs. These symptoms are predominantly respiratory in nature.\r\n- (QA_1) Where does failure of the left ventricle cause increased pressure? lungs.\r\n- (QA_2) Where does backwards failure of the left ventricle cause increased pressure? lung\'s blood vessels.']",1.0,0.6553617805982802,0.1666666666666666
4,Who won the war between ethiopia and italy?,The first war between Italy and Ethiopia took place from 1895 to 1896. This war was won by the Ethiopian army after the Battle of Adwa. The second war between the two nations was fought from October 1935 to February 1937 and was won by the Italians in the Battle of Maychew. ,['- (Second Italo-Ethiopian War) The first war between Italy and Ethiopia took place from 1895 to 1896. This war was won by the Ethiopian army after the Battle of Adwa. The second war between the two nations was fought from October 1935 to February 1937 and was won by the Italians in the Battle of Maychew.\r\n- (First Italo-Ethiopian War) The first war between Italy and Ethiopia took place from 1895 to 1896. This war was won by the Ethiopian army after the Battle of Adwa. The second war between the two nations was fought from October 1935 to February 1937 and was won by the Italians in the Battle of Maychew.\r\n- (QA_1) Who won the First Italo-Ethiopian War? Ethiopia.\r\n- (QA_2) Who won the Second Italo-Ethiopian War? Italy.'],1.0,0.7088954036564931,0.3
5,Who played bonnie in gone with the wind?,"The 1939 film gone with the wind's character Bonnie was portrayed by American child actress and public relations officer Eleanore Cammack ""Cammie"" King. A musical by the same name was officially opened at the New London Theatre on 22 April 2008. The character Bonnie was then played by Leilah de Meza.","['- (Gone with the Wind (musical)) The 1939 film gone with the wind\'s character Bonnie was portrayed by American child actress and public relations officer Eleanore Cammack ""Cammie"" King. A musical by the same name was officially opened at the New London Theatre on 22 April 2008. The character Bonnie was then played by Leilah de Meza.\r\n- (QA_1) Who played bonnie in the 1939 film gone with the wind? Eleanore Cammack ""Cammie"" King, Cammie King Conlon, King.\r\n- (QA_2) Who played bonnie in the 2008 musical gone with the wind? Leilah de Meza.']",1.0,0.9198703760563262,0.4285714285714285
6,Premier league record for most wins in a row?,"The English Premier league, a number of teams hold the record for most consecutive wins depending on whether you consider the start or end of the season. The record for most wins (9) in a row from the start of a season was achieved by Chelsea. If we're considering the most wins in a row to the end of a season, that record (14) goes to Manchester City. And if you don't consider the start or end of a season, that record (18) goes to both Manchester City and Liverpool.","[""- (Premier League records and statistics) The English Premier league, a number of teams hold the record for most consecutive wins depending on whether you consider the start or end of the season. The record for most wins (9) in a row from the start of a season was achieved by Chelsea. If we're considering the most wins in a row to the end of a season, that record (14) goes to Manchester City. And if you don't consider the start or end of a season, that record (18) goes to both Manchester City and Liverpool.\r\n- (QA_1) Premier league record for most wins in a row, not considering the start of end of a season? 18.\r\n- (QA_2) Premier league record for most wins in a row from the start of a season? 9.\r\n- (QA_3) Premier league record for most wins in a row to the end of a season? 14.""]",1.0,0.0,0.3
7,What episode does goku become super saiyan 3?,"In the Dragon Ball Z Kai anime series, goku becomes super saiyan 3 in the English title translation Delay Majin Buu, The Limit! Super Saiyan 3!!, Dub title Hold Majin Buu in Check! Limit — Super Saiyan 3!, episode 133 or Majin Bū o Kuitomero, Rimitto! Sūpā Saiya-jin Surī!! in Japanese. ","['- (List of Dragon Ball Z Kai episodes) In the Dragon Ball Z Kai anime series, goku becomes super saiyan 3 in the English title translation Delay Majin Buu, The Limit! Super Saiyan 3!!, Dub title Hold Majin Buu in Check! Limit — Super Saiyan 3!, episode 133 or Majin Bū o Kuitomero, Rimitto! Sūpā Saiya-jin Surī!! in Japanese.\r\n- (QA_1) What episode number does goku become super saiyan 3? 133.\r\n- (QA_2) What is the translated English title of the episode where goku become super saiyan 3? ""Delay Majin Buu, The Limit! Super Saiyan 3!!"".\r\n- (QA_3) What is the Dub title of the episode where goku become super saiyan 3? ""Hold Majin Buu in Check! Limit — Super Saiyan 3!"".']",0.0,0.8842403696832827,0.5
8,Who published harry potter and the prisoner of azkaban?,"The third book in the ""Harry Potter"" series Harry Potter and the Prisoner of Azkaban was published in the UK, US and Canada. It was published by Bloomsbury in the UK, by Scholastic, Inc. in the US and by Raincoast in Canada. ","['- (Harry Potter and the Prisoner of Azkaban) The third book in the ""Harry Potter"" series Harry Potter and the Prisoner of Azkaban was published in the UK, US and Canada. It was published by Bloomsbury in the UK, by Scholastic, Inc. in the US and by Raincoast in Canada.\r\n- (QA_1) Who published harry potter and the prisoner of azkaban in the UK? Bloomsbury.\r\n- (QA_2) Who published harry potter and the prisoner of azkaban in the US? Scholastic, Inc..\r\n- (QA_3) Who published harry potter and the prisoner of azkaban in Canada? Raincoast.']",1.0,0.8517329740543201,0.125
9,When does doctor strange get the infinity stone?,"In the animated direct-to-video film, Doctor Strange: The Sorcerer Supreme, Doctor Strange first gets the Eye of Agamotto, one of the fictional universe's Infinity Stones. In Secret Wars, Doctor strange gets the infinity stone after various alternate universes are combined into Battleworld. In the Marvel Cinematic Universe films between 2016 to 2019, ""Doctor Strange"" gets the infinity stone in the 2016 film. ","['- (Infinity Gems) In the animated direct-to-video film, Doctor Strange: The Sorcerer Supreme, Doctor Strange first gets the Eye of Agamotto, one of the fictional universe\'s Infinity Stones. In Secret Wars, Doctor strange gets the infinity stone after various alternate universes are combined into Battleworld. In the Marvel Cinematic Universe films between 2016 to 2019, ""Doctor Strange"" gets the infinity stone in the 2016 film.\r\n- (Eye of Agamotto) In the animated direct-to-video film, Doctor Strange: The Sorcerer Supreme, Doctor Strange first gets the Eye of Agamotto, one of the fictional universe\'s Infinity Stones. In Secret Wars, Doctor strange gets the infinity stone after various alternate universes are combined into Battleworld. In the Marvel Cinematic Universe films between 2016 to 2019, ""Doctor Strange"" gets the infinity stone in the 2016 film.\r\n- (Doctor Strange) In the animated direct-to-video film, Doctor Strange: The Sorcerer Supreme, Doctor Strange first gets the Eye of Agamotto, one of the fictional universe\'s Infinity Stones. In Secret Wars, Doctor strange gets the infinity stone after various alternate universes are combined into Battleworld. In the Marvel Cinematic Universe films between 2016 to 2019, ""Doctor Strange"" gets the infinity stone in the 2016 film.\r\n- (QA_1) When does doctor strange get the infinity stone in Secret Wars? After various alternate universes are combined into Battleworld,.\r\n- (QA_2) In what Marvel Cinematic Universe film does doctor strange get the infinity stone? Doctor Strange (2016), Doctor Strange.\r\n- (QA_3) In what animated film does doctor strange first get the infinity stone? Doctor Strange: The Sorcerer Supreme.']",1.0,0.613587019159657,0.1333333333333333
10,How many episodes does the dragonball z series have?,"Here is a breakdown of the number of episodes in the anime series Dragon Ball Z. Dragon Ball Z has a total of 291 episodes. There are 276 episodes in the original dub. Dragon Ball Z Kai: The Final Chapters contains 69 episodes, Dragon Ball Z Kai not including The Final Chapters consists of 159 and a total 167 episodes of Dragon Ball Z Kai.","['- (List of Dragon Ball Z episodes) Here is a breakdown of the number of episodes in the anime series Dragon Ball Z. Dragon Ball Z has a total of 291 episodes. There are 276 episodes in the original dub. Dragon Ball Z Kai: The Final Chapters contains 69 episodes, Dragon Ball Z Kai not including The Final Chapters consists of 159 and a total 167 episodes of Dragon Ball Z Kai.\r\n- (QA_1) How many total episodes of Dragon Ball Z are there? 291.\r\n- (QA_2) How many total episodes of Dragon Ball Z are there in the original dub? 276.\r\n- (QA_3) How many total episodes of Dragon Ball Z Kai: The Final Chapters are there? 69.']",1.0,0.9289215269294506,0.1111111111111111
11,Who sang climb every mountain in the sound of music movie?,"In her final screen appearance, actress Peggy Wood played the Mother Abbess in the 1965 movie The Sound of Music. ","['- (QA_1) Which character sang climb every mountain in the sound of music movie? Mother Abbess.\r\n- (QA_2) Which actress sang climb every mountain in the sound of music movie? Wood, Mary Margaret Wood, Peggy Wood.']",0.5,0.3092326192089124,1.0
12,Who is the attorney general for new jersey?,"Between 2013 and 2018, there have been three attorney general for new jersey. From 2013-2016, this position was held by John Jay Hoffman. On February 29, 2016, Robert Lougy was appointed by Governor Chris Christie to serve as the state's Attorney General following the resignation of John Jay Hoffman. Lougy resigned from this position on March 14, 2016. Then from 2016 to 2018, this position was held by American trial lawyer Christopher S. Porrino. ","['- (QA_1) Who is the attorney general for new jersey from 2016-2018? Christopher S. Porrino, Christopher Porrino.\r\n- (QA_2) Who is the acting attorney general for new jersey in 2016? Robert Lougy.\r\n- (QA_3) Who is the acting attorney general for new jersey in 2013-2016? John Jay Hoffman, John Hoffman.']",0.5,0.8572752841474686,0.3333333333333333
